Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
6,M-1155,"CENTRAL LABORATORY, ST. MARTHA'S HOSPITAL",nabl004645,2022,Medical,NABL 201,B Pallavi,labqm@stmarthas.in,9731583333,5 NRUPATHUNGA ROAD,Karnataka,Bengaluru,560001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6966,03/07/2025,12/11/2028,,,Archive Applications,May 13 2026 7:30AM
7,M-1384,"LABORATORY SERVICES, PONDICHERRY INSTITUTE OF MEDICAL SCIENCES",nabl004684,2022,Medical,Renewal of Accreditation,Shashikala,nabl@pimsmmm.net,9443265947,GANAPATHICHETTIKULAM,Puducherry,Puducherry,605014,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2629,12/07/2024,11/07/2026,,,Archive Applications,May 13 2026 7:30AM
8,M-0657,THE ICTC & NRL FOR HIV TESTING AND EQAS OF SCHOOL OF TROPICAL MEDICINE,nabl004710,2022,Medical,NABL 201,Saiantani Mondal,nrl.stm1@gmail.com,9830963631,"4TH FLOOR, VIROLOGY UNIT, SCHOOL OF TROPICAL MEDICINE, 108, CHITTARANJAN AVENUE",West Bengal,Kolkata,700073,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-3149,09/09/2025,19/08/2026,,,Archive Applications,May 13 2026 7:30AM
9,M-0365,DESUN HOSPITAL AND HEART INSTITUTE ( A UNIT OF PN MEMORIAL NEUROCENTRE AND RESEARCH INSTITUTE LIMITED),nabl004720,2022,Medical,Renewal of Accreditation,Arpita Biswas,accreditation2@desunhospital.com,9748149911,"720, ANANDAPUR, EM BYPASS",West Bengal,Kolkata,700107,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2191,21/07/2025,20/07/2029,,,Archive Applications,May 13 2026 7:30AM
10,M-0398,KANVA DIAGNOSTIC SERVICES PRIVATE LIMITED,nabl004752,2022,Medical,Onsite Surveillance,ASMA SAMREEN,kanvadiagnostic@gmail.com,8050504917,"NO. 2/10 DR. RAJAKUMAR ROAD, 4TH N BLOCK, RAJAJINAGAR",Karnataka,Bengaluru,560010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2457,21/12/2024,20/12/2028,,23/12/2025,Archive Applications,May 13 2026 7:30AM
11,M-1431,"CENTRAL DIAGNOSTIC LABORATORY SERVICES, RL JALAPPA HOSPITAL AND RESEARCH CENTER, UNIT OF SRI DEVARAJ URS EDUCATIONAL TRUST FORBACKWARD CLASSES",nabl004753,2022,Medical,Renewal of Accreditation,SUPREETHA MS,qualitymanagercdls@sduaher.ac.in,9538428830,TAMAKA,Karnataka,Kolar,563103,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2708,13/04/2026,12/04/2030,,,Shweta Sinha,May 13 2026 7:30AM
12,M-1167,JANTA X-RAY CLINIC PRIVATE LIMITED,nabl004754,2022,Medical,Renewal of Accreditation,Priyanka Anand,jantajxr1978@gmail.com,9990331813,"4A/16, TILAK NAGAR",Delhi,New Delhi,110018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2242,22/09/2025,21/09/2029,,,Archive Applications,May 13 2026 7:30AM
13,M-1304,PROBE DIAGNOSTIC PRIVATE LIMITED (DEPARTMENT OF LABORATORY SERVICES),nabl004762,2022,Medical,NABL 201,ZAHID IMTEYAZ,probediagno@gmail.com,9831246412,"121, A.J.C. BOSE ROAD",West Bengal,Kolkata,700014,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology",,MC-6918,12/08/2025,15/10/2028,,,Archive Applications,May 13 2026 7:30AM
14,M-1369,"WELLCOME TRUST RESEARCH LABORATORY, DIVISION OF GASTROINTESTINAL SCIENCES, CHRISTIAN MEDICAL COLLEGE",nabl004793,2022,Medical,Renewal of Accreditation,Renita S,renita@cmcvellore.ac.in,9677498098,"1ST AND 5TH FLOOR, WILLIAMS BUILDING, CHRISTIAN MEDICAL COLLEGE AND HOSPITAL",Tamil Nadu,Vellore,632004,Accreditation Certificate Approved and Issued,"Molecular Testing,Microbiology & Infectious disease serology",,MC-6191,14/12/2025,13/12/2029,,,Archive Applications,May 13 2026 7:30AM
15,M-0028,NORTH DELHI PATHOLOGY CLINIC LLP,nabl004804,2022,Medical,NABL 201,RAKESH SHARMA,ndpclab@gmail.com,9811047824,"27/5, SHAKTI NAGAR, NANGIA PARK",Delhi,Delhi,110007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Haematology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2777,22/04/2026,07/07/2029,,,Archive Applications,May 13 2026 7:30AM
16,M-0881,"LABORATORY SERVICES, LIFECARE DIAGNOSTIC AND RESEARCH CENTER PRIVATE LIMITED",nabl004820,2022,Medical,Scope Extension,VINAY GOEL,lccosmos@lifecarediagnostics.com,7387774602,"206, COSMOS PLAZA, GURUDWARA, J P ROAD, ANDHERI WEST",Maharashtra,Mumbai,400053,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2895,20/10/2025,19/10/2029,,16/04/2026,Shweta Sinha,May 13 2026 7:30AM
17,M-0192,"BRIG. T.K. NARAYANAN DEPARTMENT OF PATHOLOGY, SANTOKBA DURLABHJI MEMORIAL HOSPITAL CUM MEDICAL RESEARCH INSTITUTE",nabl004826,2022,Medical,Renewal of Accreditation,RAKESH JAIN,sdmh123@yahoo.com,8058497078,BHAWANI SINGH MARG,Rajasthan,Jaipur,302015,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7004,02/12/2024,01/12/2028,,,Archive Applications,May 13 2026 7:30AM
18,M-1307,C PATH LABS (SRIPATH DIAGNOSTICS PRIVATE LIMITED),nabl004860,2022,Medical,NABL 201,Shipali Mylavarapu,qualitycpath@gmail.com,8179629984,"KK PLAZA, 5TH FLOOR, PLOT NO.450 : 476, 100 FEET ROAD, AYYAPPA SOCIETY, MADHAPUR",Telangana,Hyderabad,500081,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6581,06/06/2025,04/06/2026,,,Archive Applications,May 13 2026 7:30AM
19,M-0158,BABINA DIAGNOSTICS (DEPARTMENT OF LABORATORY SERVICES),nabl004862,2022,Medical,Renewal of Accreditation,Reena Konsam,CONTACT@BABINADIAGNOSTICS.COM,9862008718,SOIBAM LEIKAI,Manipur,Imphal,795005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2544,28/12/2024,27/12/2028,,11/01/2025,Archive Applications,May 13 2026 7:30AM
20,M-1463,"DESUN HOSPITAL (A UNIT OF PN MEMORIAL NEUROCENTRE AND RESEARCH INSTITUTE LTD.), (DEPARTMENT OF LAB SERVICES)",nabl004881,2022,Medical,Renewal of Accreditation,ARPITA BISWAS,accreditation.siliguri@desunhospital.com,9748149911,"NORTH BENGAL MEDICAL COLLEGE ROAD, KAWAKHALI",West Bengal,Siliguri,734012,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2785,22/06/2024,21/06/2026,,,Archive Applications,May 13 2026 7:30AM
21,M-0183,DR. KHANNA'S PATHCARE PRIVATE LIMITED,nabl004889,2022,Medical,Renewal of Accreditation,SHERRY KHANNA,sherrypathcareindia@gmail.com,9899099820,"A-43, BASEMENT, HAUZ KHAS",Delhi,New Delhi,110016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2712,12/05/2025,11/05/2029,,20/05/2025,Archive Applications,May 13 2026 7:30AM
22,M-0092,TATA MEMORIAL CENTRE-DIAGNOSTIC SERVICES - TATA MEMORIAL HOSPITAL,nabl004900,2022,Medical,Renewal of Accreditation,Chitra V Hingnekar,hingnekarcv@tmc.gov.in,9819350996,"DR.ERNEST BORGES ROAD, PAREL",Maharashtra,Mumbai,400012,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2232,03/07/2024,19/05/2026,,,Archive Applications,May 13 2026 7:30AM
23,M-0520,"DEPARTMENT OF LAB SCIENCES, KALYANI HOSPITAL PRIVATE LIMITED",nabl004921,2022,Medical,Renewal of Accreditation,SIMRANDEEP KAUR,kalyanihospital.namita@gmail.com,8717880480,"354/2, MEHRAULI ROAD",Haryana,Gurgaon,122001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7888,28/01/2026,27/01/2030,,,Gayathri S,May 13 2026 7:30AM
24,M-1309,"DEPT OF LABORATORY MEDICINE, SAHYADRI NARAYANA MULTISPECIALITY HOSPITAL",nabl004926,2022,Medical,Renewal of Accreditation,RASHMI VAIDYA,rashmi.vaidya.dr@narayanahealth.org,9538881463,"NT ROAD, HARAKERE",Karnataka,Shimoga,577201,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-2531,25/02/2026,24/02/2030,,11/03/2026,Shweta Sinha,May 13 2026 7:30AM
25,M-1355,MILLENNIUM DIAGNOSTIC CENTRE (A UNIT OF DUCKLING DIAGNOSTIC CENTRE PRIVATE LIMITED),nabl004950,2022,Medical,NABL 201,Tuhin Palchoudhury,tuhinpalc@gmail.com,9831607236,"SAROJINI PALLY, HELABATTALA, BARASAT",West Bengal,Kolkata,700124,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-2594,07/02/2026,06/02/2030,,28/04/2026,Shweta Sinha,May 13 2026 7:30AM
26,M-1201,"DEPARTMENT OF LABORATORY MEDICINE, NARAYANA MULTISPECIALITY HOSPITAL, (A UNIT OF NARAYANA HRUDAYALAYA LIMITED)",nabl004971,2022,Medical,Scope Extension,ANIL SHARMA,anil.sharma.dr@narayanahealth.org,9352645763,"SEC 28, KUMBHA MARG, PRATAP NAGAR",Rajasthan,Jaipur,302033,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2930,07/11/2025,06/11/2029,,12/02/2026,Archive Applications,May 13 2026 7:30AM
27,M-0491,FATHER MULLER MEDICAL COLLEGE HOSPITAL LABORATORY,nabl005012,2022,Medical,Renewal of Accreditation,OMKARESHWAR PATIL,qualitymanager@fathermuller.in,9449734071,"RS NO 10/3, FATHER MULLER ROAD, KANKANADY",Karnataka,Mangaluru,575002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-8051,23/04/2026,22/04/2030,,,Archive Applications,May 13 2026 7:30AM
28,M-1240,SATHYA DIAGNOSTIC CENTRE,nabl005035,2022,Medical,Renewal of Accreditation,RAKIYA ZAINAB,sathyalab2@gmail.com,9391392570,"HOUSE NO. 3-6-142, SATHYA TOWERS, HIMAYATHNAGAR MAIN ROAD",Telangana,Hyderabad,500029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-5996,22/09/2025,21/09/2029,,,Archive Applications,May 13 2026 7:30AM
29,M-0587,"DEPARTMENT OF MEDICAL TESTING LABORATORY,SEWA HOSPITAL & RESEARCH CENTRE",nabl005064,2022,Medical,NABL 201,Neeraj Bora,shrcbiahs@gmail.com,7526036242,"SEWA NAGAR ,SITAPUR ROAD",Uttar Pradesh,Lucknow,226201,Accreditation Certificate Approved and Issued,Haematology,,MC-6969,30/07/2025,13/11/2028,,,Archive Applications,May 13 2026 7:30AM
30,M-0769,VIDHI UNIPATH SPECIALTY LABORATORY LLP,nabl005069,2022,Medical,Renewal of Accreditation,Jwalant Shah,vidhiunipath@gmail.com,9737021184,"GF, AVANTI COMPLEX, SUBHASH CHOWK, SURDHARA CIRCLE ROAD, MEMNAGAR",Gujarat,Ahmedabad,380052,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2358,23/08/2025,22/08/2029,,,Archive Applications,May 13 2026 7:30AM
31,M-0514,MADONNA DIAGNOSTIC AND RESEARCH CENTRE (DEPARTMENT OF LABORATORY MEDICINE),nabl005073,2022,Medical,Renewal of Accreditation,MRINAL KUMAR BARUAH,mkbaruah@gmail.com,9435030706,"BORDOLOI AVENUE, JALANNAGAR",Assam,Dibrugarh,786005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-2061,24/02/2026,23/02/2030,,18/03/2026,Gayathri S,May 13 2026 7:30AM
32,M-1214,"LIKHITHAS DIAGNOSTIC AND SPECIALITY LAB ( LDSL ), ( A UNIT OF PRAGNASHREE HEALTH CARE PRIVATE LIMITED)",nabl005114,2022,Medical,Renewal of Accreditation,Hanmant Jadhav,qc@likhithadiagnostic.com,8639830362,"DOOR NO: 13-3-12/A, HANUMAN NAGAR, GADDIANNARAM, DILSUKHNAGAR",Telangana,Hyderabad,500060,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3144,28/04/2026,27/04/2030,,30/04/2026,Shweta Sinha,May 13 2026 7:30AM
33,M-2128,CORDLIFE SCIENCES INDIA PRIVATE LIMITED,nabl005122,2022,Medical,Renewal of Accreditation,Sudipta Roy,sudipta.roy@cordlifeindia.com,9007078272,P. L. DEUTY ROAD,West Bengal,24 Parganas (s),743503,Accreditation Certificate Approved and Issued,"Molecular Testing,Haematology,Flow Cytometry,Microbiology & Infectious disease serology",,MC-1022,25/04/2025,24/04/2029,,,Archive Applications,May 13 2026 7:30AM
34,M-0761,"MGM MEDICAL COLLEGE & HOSPITALS, CENTRAL LABORATORY",nabl005146,2022,Medical,Renewal of Accreditation,Ujwala Maheshwari,mgmcentrallaboratory@gmail.com,9920037611,"PLOT NO 1 & 2, NH4 JUNCTION, SION - PANVEL EXPRESS WAY",Maharashtra,Mumbai,410209,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2166,26/04/2026,25/04/2030,,,Gayathri S,May 13 2026 7:30AM
35,M-1260,"SPINOS LIFE SCIENCE AND RESEARCH PRIVATE LIMITED, DIAGNOSTIC LABORATORY SERVICES",nabl005182,2022,Medical,Renewal of Accreditation,R Abiraamasundari,abirami@spinoslifescience.com,9442143923,"DOOR NO.29-A, KRISHNA MADHURAVANAM, VELLAKINAR PIRIVU, THUDIYALUR",Tamil Nadu,Coimbatore,641029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2065,23/04/2026,22/04/2030,,,Shweta Sinha,May 13 2026 7:30AM
36,M-0568,"DEPARTMENT OF LABORATORY MEDICINE, STAR HOSPITALS (A UNIT OF UNIMED HEALTH CARE PRIVATE LIMITED)",nabl005231,2022,Medical,Renewal of Accreditation,S USHA RANI,starlabmail@starhospitals.co.in,9963477463,"8-2-595/2/B & 8-2-595/2/B/A, ROAD NO. 10, BANJARA HILLS",Telangana,Hyderabad,500034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2285,28/03/2026,27/03/2030,,22/04/2026,Gayathri S,May 13 2026 7:30AM
37,M-1068,"LABORATORY SERVICES, ASSURED BEST CARE HOSPITAL PRIVATE LIMITED",nabl005249,2022,Medical,Renewal of Accreditation,SATHISH KUMAR,hospitalabclab@gmail.com,9790108833,"NO 1, ANNAMALAI NAGAR MAIN ROAD",Tamil Nadu,Thiruchirapalli,620018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7423,11/06/2025,10/06/2029,,,Archive Applications,May 13 2026 7:30AM
38,M-0165,R. K. LIFE SERVICES PRIVATE LIMITED (DEPARTMENT OF LABORATORY MEDICINE),nabl005256,2022,Medical,Scope Extension,MOROMI G BHATTACHARYYA,rahulkchandak@gmail.com,9435550676,"MEENA BHAWAN KANCHAN ROAD, G.S. ROAD",Assam,Guwahati,781007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Haematology & Immunohaematology",,MC-6968,14/11/2024,13/11/2028,,02/01/2026,Gayathri S,May 13 2026 7:30AM
39,M-1198,WOODLANDS MULTISPECIALITY HOSPITAL LIMITED (DEPARTMENT OF PATHOLOGY),nabl005262,2022,Medical,Renewal of Accreditation,AMIT BHATTACHARYYA,laboratory@woodlandshospital.in,9831041041,8/5 ALIPORE ROAD,West Bengal,Kolkata,700027,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6337,26/02/2026,25/02/2030,,,Archive Applications,May 13 2026 7:30AM
40,M-1381,"NEHRU MEMORIAL TECHNO GLOBAL HOSPITAL, A UNIT OF TECHNO INDIA TECHNOLOGIES LIMITED (DEPARTMENT OF LABORATORY SERVICES)",nabl005298,2022,Medical,NABL 201,Soumitra Chatterjee,pathology@technoglobalhospital.com,9836586937,"6, BARASAT ROAD, LALKUTHI MORE, BARRACKPORE",West Bengal,Kolkata,700120,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6701,18/07/2025,03/08/2026,,,Archive Applications,May 13 2026 7:30AM
41,M-1377,KURUVILLA DIAGNOSTICS,nabl005301,2022,Medical,Renewal of Accreditation,POONAM BHAGAT KURUVILLA,poonam.kuruvilla@gmail.com,8420586710,"703, DIAMOND HARBOUR ROAD, BEHALA",West Bengal,Kolkata,700034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6366,27/02/2026,26/02/2030,,,Archive Applications,May 13 2026 7:30AM
42,M-0142,KIMSHEALTH LABORATORY,nabl005309,2022,Medical,Renewal of Accreditation,Ann Susan Robert,drannsusan.r@kimsglobal.com,8137054039,"ANAMUKHAM, ANAYARA P.O",Kerala,Thiruvananthapuram,695029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2384,05/08/2024,04/08/2026,,,Archive Applications,May 13 2026 7:30AM
43,M-0667,NU HOSPITALS DIAGNOSTIC SERVICES,nabl005374,2022,Medical,Renewal of Accreditation,Neelima Prabha Chamarthy,dr.neelima@nuhospitals.com,9731391908,"C.A-6, 15TH MAIN, 11TH CROSS, PADMANABHANAGAR",Karnataka,Bengaluru,560070,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2644,09/03/2025,08/03/2029,,,Archive Applications,May 13 2026 7:30AM
44,M-0129,"DEPARTMENT OF PATHOLOGY, DEENANATH MANGESHKAR HOSPITAL AND RESEARCH CENTER",nabl005383,2022,Medical,Renewal of Accreditation,VIJAYSHRI BHIDE,drvijayshrimb@yahoo.com,9657719620,"DEENANATH MANGESHKAR HOSPITAL AND RESEARCH CENTER, ERANDAWANE",Maharashtra,Pune,411004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2177,17/11/2024,16/11/2028,,,Archive Applications,May 13 2026 7:30AM
45,M-0181,GANESH DIAGNOSTIC & IMAGING CENTRE PVT. LTD,nabl005415,2022,Medical,Renewal of Accreditation,SONAL SHARMA,gdicganesh@yahoo.co.in,9811067479,"109, PKT A1, SECTOR-8, ROHINI",Delhi,Delhi,110085,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2165,06/05/2025,05/05/2029,,,Archive Applications,May 13 2026 7:30AM
46,M-1193,ACCUPROBE HEALTHCARE AND DIAGNOSTICS PRIVATE LIMITED,nabl005430,2022,Medical,Renewal of Accreditation,PRASHANT GOYAL,prashant@accuprobe.in,9599593630,"B 14/7, SECOND, THIRD & FOURTH FLOOR, JHILMIL INDUSTRIAL AREA",Delhi,Delhi,110095,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2097,23/01/2026,22/01/2030,,,Archive Applications,May 13 2026 7:30AM
47,M-0672,DR. QADRI'S HEMATOLOGY CENTER & CLINICAL LABORATORY,nabl005455,2022,Medical,Renewal of Accreditation,M I QUADRI,labqadri@gmail.com,9796300101,"SHAHEEN PLAZA, KARAN NAGAR",Jammu and Kashmir,Srinagar,190010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2552,18/01/2025,17/01/2029,,,Archive Applications,May 13 2026 7:30AM
48,M-1341,NAVIGENE GENETIC SCIENCE PVT. LTD.,nabl005467,2022,Medical,Renewal of Accreditation,Nikhil Patel,nikhil.patel@navigene.in,9834878217,"25-27 GAURAV GARDEN COMPLEX, MIRA -BHAYANDER ROAD, MIRA ROAD(EAST)",Maharashtra,Thane,401107,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-2588,23/03/2025,22/03/2029,,,Archive Applications,May 13 2026 7:30AM
